metering_point_id;timestamp;value;unit_of_measure;property;reading_status;consumption_from;consumption_to;consumption_value;calculated_value;calculated_normalized_value;calculated_deviation_type;calculated_deviation_level;temperature;calculate_consuming_values;validate_simple_status
"TDS2";"2016-01-03T00:00:00Z";833,214;"MWh";"energy";"measured";"2016-01-02T00:00:00Z";"2016-01-03T00:00:00Z";0,8500000000000227;undefined;undefined;undefined;undefined;6,8118678927;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-04T00:00:00Z";834,068;"MWh";"energy";"measured";"2016-01-03T00:00:00Z";"2016-01-04T00:00:00Z";0,8539999999999281;undefined;undefined;undefined;undefined;5,5298933983;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-05T00:00:00Z";835,141;"MWh";"energy";"measured";"2016-01-04T00:00:00Z";"2016-01-05T00:00:00Z";1,072999999999979;undefined;undefined;undefined;undefined;3,5451938113;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-06T00:00:00Z";836,533;"MWh";"energy";"measured";"2016-01-05T00:00:00Z";"2016-01-06T00:00:00Z";1,3920000000000528;undefined;undefined;undefined;undefined;0,5122425174;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-07T00:00:00Z";837,726;"MWh";"energy";"measured";"2016-01-06T00:00:00Z";"2016-01-07T00:00:00Z";1,1929999999999836;undefined;undefined;undefined;undefined;2,7808502962;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-08T00:00:00Z";838,747;"MWh";"energy";"measured";"2016-01-07T00:00:00Z";"2016-01-08T00:00:00Z";1,0209999999999582;undefined;undefined;undefined;undefined;4,5852379898;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-09T00:00:00Z";839,606;"MWh";"energy";"measured";"2016-01-08T00:00:00Z";"2016-01-09T00:00:00Z";0,8590000000000373;undefined;undefined;undefined;undefined;6,2521438996;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-10T00:00:00Z";840,673;"MWh";"energy";"measured";"2016-01-09T00:00:00Z";"2016-01-10T00:00:00Z";1,0670000000000073;undefined;undefined;undefined;undefined;3,9954189112;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-11T00:00:00Z";841,532;"MWh";"energy";"measured";"2016-01-10T00:00:00Z";"2016-01-11T00:00:00Z";0,8590000000000373;undefined;undefined;undefined;undefined;4,3690861911;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-12T00:00:00Z";842,446;"MWh";"energy";"measured";"2016-01-11T00:00:00Z";"2016-01-12T00:00:00Z";0,9139999999999873;undefined;undefined;undefined;undefined;4,6668332337;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-13T00:00:00Z";843,331;"MWh";"energy";"measured";"2016-01-12T00:00:00Z";"2016-01-13T00:00:00Z";0,8849999999999909;undefined;undefined;undefined;undefined;5,3643808089;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-14T00:00:00Z";844,26;"MWh";"energy";"measured";"2016-01-13T00:00:00Z";"2016-01-14T00:00:00Z";0,9289999999999736;undefined;undefined;undefined;undefined;5,2676699857;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-15T00:00:00Z";845,3;"MWh";"energy";"measured";"2016-01-14T00:00:00Z";"2016-01-15T00:00:00Z";1,0399999999999636;undefined;undefined;undefined;undefined;3,8230341673;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-16T00:00:00Z";846,209;"MWh";"energy";"measured";"2016-01-15T00:00:00Z";"2016-01-16T00:00:00Z";0,9089999999999918;undefined;undefined;undefined;undefined;4,4080245495;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-17T00:00:00Z";847,073;"MWh";"energy";"measured";"2016-01-16T00:00:00Z";"2016-01-17T00:00:00Z";0,8640000000000327;undefined;undefined;undefined;undefined;5,9766261379;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-18T00:00:00Z";847,991;"MWh";"energy";"measured";"2016-01-17T00:00:00Z";"2016-01-18T00:00:00Z";0,9180000000000064;undefined;undefined;undefined;undefined;4,0875106851;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-19T00:00:00Z";848,989;"MWh";"energy";"measured";"2016-01-18T00:00:00Z";"2016-01-19T00:00:00Z";0,9980000000000473;undefined;undefined;undefined;undefined;3,2440790335;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-20T00:00:00Z";850,254;"MWh";"energy";"measured";"2016-01-19T00:00:00Z";"2016-01-20T00:00:00Z";1,2649999999999864;undefined;undefined;undefined;undefined;2,0368912667;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-21T00:00:00Z";851,538;"MWh";"energy";"measured";"2016-01-20T00:00:00Z";"2016-01-21T00:00:00Z";1,2839999999999918;undefined;undefined;undefined;undefined;1,8937095826;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-22T00:00:00Z";852,852;"MWh";"energy";"measured";"2016-01-21T00:00:00Z";"2016-01-22T00:00:00Z";1,3139999999999645;undefined;undefined;undefined;undefined;0,9974386344;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-23T00:00:00Z";854,204;"MWh";"energy";"measured";"2016-01-22T00:00:00Z";"2016-01-23T00:00:00Z";1,3519999999999754;undefined;undefined;undefined;undefined;0,3104408967;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-24T00:00:00Z";855,591;"MWh";"energy";"measured";"2016-01-23T00:00:00Z";"2016-01-24T00:00:00Z";1,3870000000000573;undefined;undefined;undefined;undefined;-0,1234364789;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-25T00:00:00Z";856,755;"MWh";"energy";"measured";"2016-01-24T00:00:00Z";"2016-01-25T00:00:00Z";1,1639999999999873;undefined;undefined;undefined;undefined;1,5925675659;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-26T00:00:00Z";858,04;"MWh";"energy";"measured";"2016-01-25T00:00:00Z";"2016-01-26T00:00:00Z";1,2849999999999682;undefined;undefined;undefined;undefined;0,8153244038;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-27T00:00:00Z";859,159;"MWh";"energy";"measured";"2016-01-26T00:00:00Z";"2016-01-27T00:00:00Z";1,1190000000000282;undefined;undefined;undefined;undefined;3,6911086688;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-28T00:00:00Z";860,42;"MWh";"energy";"measured";"2016-01-27T00:00:00Z";"2016-01-28T00:00:00Z";1,2609999999999673;undefined;undefined;undefined;undefined;1,6226893067;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-29T00:00:00Z";861,421;"MWh";"energy";"measured";"2016-01-28T00:00:00Z";"2016-01-29T00:00:00Z";1,00100000000009;undefined;undefined;undefined;undefined;4,2551534275;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-30T00:00:00Z";862,558;"MWh";"energy";"measured";"2016-01-29T00:00:00Z";"2016-01-30T00:00:00Z";1,1369999999999436;undefined;undefined;undefined;undefined;2,5476500293;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-01-31T00:00:00Z";863,788;"MWh";"energy";"measured";"2016-01-30T00:00:00Z";"2016-01-31T00:00:00Z";1,2300000000000182;undefined;undefined;undefined;undefined;1,3328957632;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-01T00:00:00Z";864,932;"MWh";"energy";"measured";"2016-01-31T00:00:00Z";"2016-02-01T00:00:00Z";1,1440000000000055;undefined;undefined;undefined;undefined;0,9000573407;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-02T00:00:00Z";866,207;"MWh";"energy";"measured";"2016-02-01T00:00:00Z";"2016-02-02T00:00:00Z";1,2749999999999773;undefined;undefined;undefined;undefined;-0,5466631819;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-03T00:00:00Z";867,878;"MWh";"energy";"measured";"2016-02-02T00:00:00Z";"2016-02-03T00:00:00Z";1,6710000000000491;undefined;undefined;undefined;undefined;-3,4736081709;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-04T00:00:00Z";869,547;"MWh";"energy";"measured";"2016-02-03T00:00:00Z";"2016-02-04T00:00:00Z";1,6689999999999827;undefined;undefined;undefined;undefined;-3,6058089137;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-05T00:00:00Z";871,156;"MWh";"energy";"measured";"2016-02-04T00:00:00Z";"2016-02-05T00:00:00Z";1,6089999999999236;undefined;undefined;undefined;undefined;-2,4526248326;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-06T00:00:00Z";872,747;"MWh";"energy";"measured";"2016-02-05T00:00:00Z";"2016-02-06T00:00:00Z";1,5910000000000082;undefined;undefined;undefined;undefined;-2,2692419713;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-07T00:00:00Z";873,941;"MWh";"energy";"measured";"2016-02-06T00:00:00Z";"2016-02-07T00:00:00Z";1,1940000000000737;undefined;undefined;undefined;undefined;2,0943093381;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-08T00:00:00Z";874,899;"MWh";"energy";"measured";"2016-02-07T00:00:00Z";"2016-02-08T00:00:00Z";0,95799999999997;undefined;undefined;undefined;undefined;4,1489233573;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-09T00:00:00Z";875,944;"MWh";"energy";"measured";"2016-02-08T00:00:00Z";"2016-02-09T00:00:00Z";1,044999999999959;undefined;undefined;undefined;undefined;2,8972258021;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-10T00:00:00Z";876,839;"MWh";"energy";"measured";"2016-02-09T00:00:00Z";"2016-02-10T00:00:00Z";0,8950000000000955;undefined;undefined;undefined;undefined;5,978564918;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-11T00:00:00Z";877,83;"MWh";"energy";"measured";"2016-02-10T00:00:00Z";"2016-02-11T00:00:00Z";0,9909999999999854;undefined;undefined;undefined;undefined;4,9962784896;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-12T00:00:00Z";878,873;"MWh";"energy";"measured";"2016-02-11T00:00:00Z";"2016-02-12T00:00:00Z";1,0430000000000064;undefined;undefined;undefined;undefined;3,9366816978;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-13T00:00:00Z";879,943;"MWh";"energy";"measured";"2016-02-12T00:00:00Z";"2016-02-13T00:00:00Z";1,0699999999999363;undefined;undefined;undefined;undefined;3,5386706491;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-14T00:00:00Z";881,174;"MWh";"energy";"measured";"2016-02-13T00:00:00Z";"2016-02-14T00:00:00Z";1,2309999999999945;undefined;undefined;undefined;undefined;1,7733305246;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-15T00:00:00Z";882,373;"MWh";"energy";"measured";"2016-02-14T00:00:00Z";"2016-02-15T00:00:00Z";1,1990000000000691;undefined;undefined;undefined;undefined;0,9178961062;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-16T00:00:00Z";883,428;"MWh";"energy";"measured";"2016-02-15T00:00:00Z";"2016-02-16T00:00:00Z";1,05499999999995;undefined;undefined;undefined;undefined;3,0544072762;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-17T00:00:00Z";884,673;"MWh";"energy";"measured";"2016-02-16T00:00:00Z";"2016-02-17T00:00:00Z";1,2450000000000045;undefined;undefined;undefined;undefined;2,2894203713;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-18T00:00:00Z";885,89;"MWh";"energy";"measured";"2016-02-17T00:00:00Z";"2016-02-18T00:00:00Z";1,2169999999999845;undefined;undefined;undefined;undefined;2,5836688379;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-19T00:00:00Z";886,899;"MWh";"energy";"measured";"2016-02-18T00:00:00Z";"2016-02-19T00:00:00Z";1,0090000000000146;undefined;undefined;undefined;undefined;4,6547270943;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-20T00:00:00Z";887,84;"MWh";"energy";"measured";"2016-02-19T00:00:00Z";"2016-02-20T00:00:00Z";0,9410000000000309;undefined;undefined;undefined;undefined;4,9402681986;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-21T00:00:00Z";888,953;"MWh";"energy";"measured";"2016-02-20T00:00:00Z";"2016-02-21T00:00:00Z";1,1129999999999427;undefined;undefined;undefined;undefined;3,1423484534;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-22T00:00:00Z";889,97;"MWh";"energy";"measured";"2016-02-21T00:00:00Z";"2016-02-22T00:00:00Z";1,0170000000000528;undefined;undefined;undefined;undefined;2,9586408089;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-23T00:00:00Z";890,91;"MWh";"energy";"measured";"2016-02-22T00:00:00Z";"2016-02-23T00:00:00Z";0,9399999999999409;undefined;undefined;undefined;undefined;3,6399520338;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-24T00:00:00Z";892,084;"MWh";"energy";"measured";"2016-02-23T00:00:00Z";"2016-02-24T00:00:00Z";1,1739999999999782;undefined;undefined;undefined;undefined;2,8132807414;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-25T00:00:00Z";893,13;"MWh";"energy";"measured";"2016-02-24T00:00:00Z";"2016-02-25T00:00:00Z";1,0460000000000491;undefined;undefined;undefined;undefined;4,2068377435;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-26T00:00:00Z";894,171;"MWh";"energy";"measured";"2016-02-25T00:00:00Z";"2016-02-26T00:00:00Z";1,0410000000000537;undefined;undefined;undefined;undefined;4,4718246361;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-27T00:00:00Z";895,14;"MWh";"energy";"measured";"2016-02-26T00:00:00Z";"2016-02-27T00:00:00Z";0,9689999999999372;undefined;undefined;undefined;undefined;4,6577780545;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-28T00:00:00Z";896,219;"MWh";"energy";"measured";"2016-02-27T00:00:00Z";"2016-02-28T00:00:00Z";1,0790000000000646;undefined;undefined;undefined;undefined;3,7228328238;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-02-29T00:00:00Z";897,228;"MWh";"energy";"measured";"2016-02-28T00:00:00Z";"2016-02-29T00:00:00Z";1,0089999999999009;undefined;undefined;undefined;undefined;2,7650013752;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-01T00:00:00Z";898,235;"MWh";"energy";"measured";"2016-02-29T00:00:00Z";"2016-03-01T00:00:00Z";1,0070000000000618;undefined;undefined;undefined;undefined;3,4876336306;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-02T00:00:00Z";899,283;"MWh";"energy";"measured";"2016-03-01T00:00:00Z";"2016-03-02T00:00:00Z";1,0480000000000018;undefined;undefined;undefined;undefined;3,9432966808;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-03T00:00:00Z";900,291;"MWh";"energy";"measured";"2016-03-02T00:00:00Z";"2016-03-03T00:00:00Z";1,0080000000000382;undefined;undefined;undefined;undefined;3,8732358416;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-04T00:00:00Z";901,332;"MWh";"energy";"measured";"2016-03-03T00:00:00Z";"2016-03-04T00:00:00Z";1,04099999999994;undefined;undefined;undefined;undefined;3,1983938317;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-05T00:00:00Z";902,39;"MWh";"energy";"measured";"2016-03-04T00:00:00Z";"2016-03-05T00:00:00Z";1,0579999999999927;undefined;undefined;undefined;undefined;3,0440107857;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-06T00:00:00Z";903,225;"MWh";"energy";"measured";"2016-03-05T00:00:00Z";"2016-03-06T00:00:00Z";0,8350000000000364;undefined;undefined;undefined;undefined;5,6144724091;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-07T00:00:00Z";903,954;"MWh";"energy";"measured";"2016-03-06T00:00:00Z";"2016-03-07T00:00:00Z";0,7289999999999281;undefined;undefined;undefined;undefined;5,9179059466;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-08T00:00:00Z";904,606;"MWh";"energy";"measured";"2016-03-07T00:00:00Z";"2016-03-08T00:00:00Z";0,6520000000000437;undefined;undefined;undefined;undefined;6,7789445122;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-09T00:00:00Z";905,417;"MWh";"energy";"measured";"2016-03-08T00:00:00Z";"2016-03-09T00:00:00Z";0,8110000000000355;undefined;undefined;undefined;undefined;5,5647128224;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-10T00:00:00Z";906,135;"MWh";"energy";"measured";"2016-03-09T00:00:00Z";"2016-03-10T00:00:00Z";0,7179999999999609;undefined;undefined;undefined;undefined;6,5459819039;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-11T00:00:00Z";906,829;"MWh";"energy";"measured";"2016-03-10T00:00:00Z";"2016-03-11T00:00:00Z";0,69399999999996;undefined;undefined;undefined;undefined;7,4049503009;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-12T00:00:00Z";907,664;"MWh";"energy";"measured";"2016-03-11T00:00:00Z";"2016-03-12T00:00:00Z";0,8350000000000364;undefined;undefined;undefined;undefined;4,9297689497;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-13T00:00:00Z";908,624;"MWh";"energy";"measured";"2016-03-12T00:00:00Z";"2016-03-13T00:00:00Z";0,9600000000000364;undefined;undefined;undefined;undefined;4,1685683796;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-14T00:00:00Z";909,488;"MWh";"energy";"measured";"2016-03-13T00:00:00Z";"2016-03-14T00:00:00Z";0,8640000000000327;undefined;undefined;undefined;undefined;4,1815967631;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-15T00:00:00Z";910,175;"MWh";"energy";"measured";"2016-03-14T00:00:00Z";"2016-03-15T00:00:00Z";0,6869999999998981;undefined;undefined;undefined;undefined;6,5602951149;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-16T00:00:00Z";910,765;"MWh";"energy";"measured";"2016-03-15T00:00:00Z";"2016-03-16T00:00:00Z";0,5900000000000318;undefined;undefined;undefined;undefined;8,2997244398;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-17T00:00:00Z";911,363;"MWh";"energy";"measured";"2016-03-16T00:00:00Z";"2016-03-17T00:00:00Z";0,59800000000007;undefined;undefined;undefined;undefined;8,6206466655;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-18T00:00:00Z";911,897;"MWh";"energy";"measured";"2016-03-17T00:00:00Z";"2016-03-18T00:00:00Z";0,5339999999999918;undefined;undefined;undefined;undefined;8,3108995159;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-19T00:00:00Z";912,584;"MWh";"energy";"measured";"2016-03-18T00:00:00Z";"2016-03-19T00:00:00Z";0,6869999999998981;undefined;undefined;undefined;undefined;5,1391530931;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-20T00:00:00Z";913,271;"MWh";"energy";"measured";"2016-03-19T00:00:00Z";"2016-03-20T00:00:00Z";0,6870000000000118;undefined;undefined;undefined;undefined;5,2649445534;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-21T00:00:00Z";914,283;"MWh";"energy";"measured";"2016-03-20T00:00:00Z";"2016-03-21T00:00:00Z";1,0120000000000573;undefined;undefined;undefined;undefined;2,6040546712;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-22T00:00:00Z";915,35;"MWh";"energy";"measured";"2016-03-21T00:00:00Z";"2016-03-22T00:00:00Z";1,0670000000000073;undefined;undefined;undefined;undefined;1,467922397;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-23T00:00:00Z";916,319;"MWh";"energy";"measured";"2016-03-22T00:00:00Z";"2016-03-23T00:00:00Z";0,9689999999999372;undefined;undefined;undefined;undefined;4,1858255466;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-24T00:00:00Z";917,148;"MWh";"energy";"measured";"2016-03-23T00:00:00Z";"2016-03-24T00:00:00Z";0,8290000000000646;undefined;undefined;undefined;undefined;4,8253288666;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-25T00:00:00Z";918,09;"MWh";"energy";"measured";"2016-03-24T00:00:00Z";"2016-03-25T00:00:00Z";0,9420000000000073;undefined;undefined;undefined;undefined;3,7193615238;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-26T00:00:00Z";919,076;"MWh";"energy";"measured";"2016-03-25T00:00:00Z";"2016-03-26T00:00:00Z";0,98599999999999;undefined;undefined;undefined;undefined;4,0945953329;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-27T00:00:00Z";919,984;"MWh";"energy";"measured";"2016-03-26T00:00:00Z";"2016-03-27T00:00:00Z";0,9080000000000155;undefined;undefined;undefined;undefined;3,7838011421;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-28T00:00:00Z";920,737;"MWh";"energy";"measured";"2016-03-27T00:00:00Z";"2016-03-28T00:00:00Z";0,7529999999999291;undefined;undefined;undefined;undefined;4,8840319415;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-29T00:00:00Z";921,418;"MWh";"energy";"measured";"2016-03-28T00:00:00Z";"2016-03-29T00:00:00Z";0,68100000000004;undefined;undefined;undefined;undefined;6,0533152041;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-30T00:00:00Z";922,222;"MWh";"energy";"measured";"2016-03-29T00:00:00Z";"2016-03-30T00:00:00Z";0,8039999999999736;undefined;undefined;undefined;undefined;5,1505593856;"calculate_consuming_values_ok";"validate_simple_ok"
"TDS2";"2016-03-31T00:00:00Z";923,107;"MWh";"energy";"measured";"2016-03-30T00:00:00Z";"2016-03-31T00:00:00Z";0,8849999999999909;undefined;undefined;undefined;undefined;4,350208203;"calculate_consuming_values_ok";"validate_simple_ok"
